YYYY-MM,State,Type,Source,Capacity_MW
01-01-2020,Dadar & Nagar Haveli,Renewable,Solar Ground,2.49
01-01-2020,Dadar & Nagar Haveli,Renewable,Solar Ground Based,0
01-01-2020,Dadar & Nagar Haveli,Renewable,Solar Hybrid,0
01-01-2020,Dadar & Nagar Haveli,Renewable,Solar Offgrid,0
01-01-2020,Dadar & Nagar Haveli,Renewable,Solar Rooftop,2.97
01-01-2020,Dadar & Nagar Haveli,Renewable,Wind,0
01-01-2020,Daman & Diu,Renewable,Bio Bagasse Cogen,0
01-01-2020,Daman & Diu,Renewable,Bio Other Cogen,0
01-01-2020,Daman & Diu,Renewable,Bio Waste,0
01-01-2020,Daman & Diu,Renewable,Bio Waster Offgrid,0
01-01-2020,Daman & Diu,Renewable,Small Hydro,0
01-01-2020,Daman & Diu,Renewable,Solar Ground,10.15
01-01-2020,Daman & Diu,Renewable,Solar Ground Based,0
01-01-2020,Daman & Diu,Renewable,Solar Hybrid,0
01-01-2020,Daman & Diu,Renewable,Solar Offgrid,0
01-01-2020,Daman & Diu,Renewable,Solar Rooftop,6.41
01-01-2020,Daman & Diu,Renewable,Wind,0
01-01-2020,Delhi,Non-Renewable,Hydro,0
01-01-2020,Delhi,Non-Renewable,Natural Gas,2208.4
01-01-2020,Delhi,Non-Renewable,Nuclear,0
01-01-2020,Delhi,Non-Renewable,Thermal,0
01-01-2020,Delhi,Renewable,Bio Bagasse Cogen,0
01-01-2020,Delhi,Renewable,Bio Other Cogen,0
01-01-2020,Delhi,Renewable,Bio Waste,52
01-01-2020,Delhi,Renewable,Bio Waster Offgrid,0
01-01-2020,Delhi,Renewable,Small Hydro,0
01-01-2020,Delhi,Renewable,Solar Ground,8.96
01-01-2020,Delhi,Renewable,Solar Ground Based,0
01-01-2020,Delhi,Renewable,Solar Hybrid,0
01-01-2020,Delhi,Renewable,Solar Offgrid,0
01-01-2020,Delhi,Renewable,Solar Rooftop,147.16
01-01-2020,Delhi,Renewable,Wind,0
01-01-2020,Goa,Non-Renewable,Hydro,0
01-01-2020,Goa,Non-Renewable,Natural Gas,48
01-01-2020,Goa,Non-Renewable,Nuclear,0
01-01-2020,Goa,Non-Renewable,Thermal,0
01-01-2020,Goa,Renewable,Bio Bagasse Cogen,0
01-01-2020,Goa,Renewable,Bio Other Cogen,0
01-01-2020,Goa,Renewable,Bio Waste,0
01-01-2020,Goa,Renewable,Bio Waster Offgrid,0
01-01-2020,Goa,Renewable,Small Hydro,0.05
01-01-2020,Goa,Renewable,Solar Ground,0.95
01-01-2020,Goa,Renewable,Solar Ground Based,0
01-01-2020,Goa,Renewable,Solar Hybrid,0
01-01-2020,Goa,Renewable,Solar Offgrid,0
01-01-2020,Goa,Renewable,Solar Rooftop,3.83
01-01-2020,Goa,Renewable,Wind,0
01-01-2020,Gujarat,Non-Renewable,Hydro,1990
01-01-2020,Gujarat,Non-Renewable,Natural Gas,7551.41
01-01-2020,Gujarat,Non-Renewable,Nuclear,440
01-01-2020,Gujarat,Non-Renewable,Thermal,16232
01-01-2020,Gujarat,Renewable,Bio Bagasse Cogen,65.3
01-01-2020,Gujarat,Renewable,Bio Other Cogen,12
01-01-2020,Gujarat,Renewable,Bio Waste,0
01-01-2020,Gujarat,Renewable,Bio Waster Offgrid,0
01-01-2020,Gujarat,Renewable,Small Hydro,62.352
01-01-2020,Gujarat,Renewable,Solar Ground,2362.21
01-01-2020,Gujarat,Renewable,Solar Ground Based,0
01-01-2020,Gujarat,Renewable,Solar Hybrid,0
01-01-2020,Gujarat,Renewable,Solar Offgrid,0
01-01-2020,Gujarat,Renewable,Solar Rooftop,430.24
01-01-2020,Gujarat,Renewable,Wind,7460.02
01-01-2020,Haryana,Non-Renewable,Hydro,0
01-01-2020,Haryana,Non-Renewable,Natural Gas,431.59
01-01-2020,Haryana,Non-Renewable,Nuclear,0
01-01-2020,Haryana,Non-Renewable,Thermal,5540
01-01-2020,Haryana,Renewable,Bio Bagasse Cogen,121.4
01-01-2020,Haryana,Renewable,Bio Other Cogen,84.26
01-01-2020,Haryana,Renewable,Bio Waste,0
01-01-2020,Haryana,Renewable,Bio Waster Offgrid,0
01-01-2020,Haryana,Renewable,Small Hydro,73.5
01-01-2020,Haryana,Renewable,Solar Ground,130.8
01-01-2020,Haryana,Renewable,Solar Ground Based,0
01-01-2020,Haryana,Renewable,Solar Hybrid,0
01-01-2020,Haryana,Renewable,Solar Offgrid,0
01-01-2020,Haryana,Renewable,Solar Rooftop,121.34
01-01-2020,Haryana,Renewable,Wind,0
01-01-2020,Himachal Pradesh,Non-Renewable,Hydro,9809.02
01-01-2020,Himachal Pradesh,Non-Renewable,Natural Gas,0
01-01-2020,Himachal Pradesh,Non-Renewable,Nuclear,0
01-01-2020,Himachal Pradesh,Non-Renewable,Thermal,0
01-01-2020,Himachal Pradesh,Renewable,Bio Bagasse Cogen,0
01-01-2020,Himachal Pradesh,Renewable,Bio Other Cogen,7.2
01-01-2020,Himachal Pradesh,Renewable,Bio Waste,0
01-01-2020,Himachal Pradesh,Renewable,Bio Waster Offgrid,0
01-01-2020,Himachal Pradesh,Renewable,Small Hydro,911.51
01-01-2020,Himachal Pradesh,Renewable,Solar Ground,17
01-01-2020,Himachal Pradesh,Renewable,Solar Ground Based,0
01-01-2020,Himachal Pradesh,Renewable,Solar Hybrid,0
01-01-2020,Himachal Pradesh,Renewable,Solar Offgrid,0
01-01-2020,Himachal Pradesh,Renewable,Solar Rooftop,15.93
01-01-2020,Himachal Pradesh,Renewable,Wind,0
01-01-2020,Jammu & Kashmir,Non-Renewable,Hydro,3360
01-01-2020,Jammu & Kashmir,Non-Renewable,Natural Gas,175
01-01-2020,Jammu & Kashmir,Non-Renewable,Nuclear,0
01-01-2020,Jammu & Kashmir,Non-Renewable,Thermal,0
01-01-2020,Jammu & Kashmir,Renewable,Bio Bagasse Cogen,0
01-01-2020,Jammu & Kashmir,Renewable,Bio Other Cogen,0
01-01-2020,Jammu & Kashmir,Renewable,Bio Waste,0
01-01-2020,Jammu & Kashmir,Renewable,Bio Waster Offgrid,0
01-01-2020,Jammu & Kashmir,Renewable,Small Hydro,180.48
01-01-2020,Jammu & Kashmir,Renewable,Solar Ground,8.49
01-01-2020,Jammu & Kashmir,Renewable,Solar Ground Based,0
01-01-2020,Jammu & Kashmir,Renewable,Solar Hybrid,0
01-01-2020,Jammu & Kashmir,Renewable,Solar Offgrid,0
01-01-2020,Jammu & Kashmir,Renewable,Solar Rooftop,10.81
01-01-2020,Jammu & Kashmir,Renewable,Wind,0
01-01-2020,Jharkhand,Non-Renewable,Hydro,210
01-01-2020,Jharkhand,Non-Renewable,Natural Gas,0
01-01-2020,Jharkhand,Non-Renewable,Nuclear,0
01-01-2020,Jharkhand,Non-Renewable,Thermal,4590
01-01-2020,Jharkhand,Renewable,Bio Bagasse Cogen,0
01-01-2020,Jharkhand,Renewable,Bio Other Cogen,4.3
01-01-2020,Jharkhand,Renewable,Bio Waste,0
01-01-2020,Jharkhand,Renewable,Bio Waster Offgrid,0
01-01-2020,Jharkhand,Renewable,Small Hydro,4.05
01-01-2020,Jharkhand,Renewable,Solar Ground,19.05
01-01-2020,Jharkhand,Renewable,Solar Ground Based,0
01-01-2020,Jharkhand,Renewable,Solar Hybrid,0
01-01-2020,Jharkhand,Renewable,Solar Offgrid,0
01-01-2020,Jharkhand,Renewable,Solar Rooftop,19.35
01-01-2020,Jharkhand,Renewable,Wind,0
01-01-2020,Karnataka,Non-Renewable,Hydro,3644.2
01-01-2020,Karnataka,Non-Renewable,Natural Gas,0
01-01-2020,Karnataka,Non-Renewable,Nuclear,880
01-01-2020,Karnataka,Non-Renewable,Thermal,9505.2
01-01-2020,Karnataka,Renewable,Bio Bagasse Cogen,1866.6
01-01-2020,Karnataka,Renewable,Bio Other Cogen,15.2
01-01-2020,Karnataka,Renewable,Bio Waste,1
01-01-2020,Karnataka,Renewable,Bio Waster Offgrid,0
01-01-2020,Karnataka,Renewable,Small Hydro,1280.73
01-01-2020,Karnataka,Renewable,Solar Ground,7042.16
01-01-2020,Karnataka,Renewable,Solar Ground Based,0
01-01-2020,Karnataka,Renewable,Solar Hybrid,0
01-01-2020,Karnataka,Renewable,Solar Offgrid,0
01-01-2020,Karnataka,Renewable,Solar Rooftop,232.77
01-01-2020,Karnataka,Renewable,Wind,4754.9
01-01-2020,Kerala,Non-Renewable,Hydro,1856.5
01-01-2020,Kerala,Non-Renewable,Natural Gas,533.58
01-01-2020,Kerala,Non-Renewable,Nuclear,0
01-01-2020,Kerala,Non-Renewable,Thermal,159.96
01-01-2020,Kerala,Renewable,Bio Bagasse Cogen,0
01-01-2020,Kerala,Renewable,Bio Other Cogen,0.72
01-01-2020,Kerala,Renewable,Bio Waste,0
01-01-2020,Kerala,Renewable,Bio Waster Offgrid,0
01-01-2020,Kerala,Renewable,Small Hydro,222.02
01-01-2020,Kerala,Renewable,Solar Ground,100
01-01-2020,Kerala,Renewable,Solar Ground Based,0
01-01-2020,Kerala,Renewable,Solar Hybrid,0
01-01-2020,Kerala,Renewable,Solar Offgrid,0
01-01-2020,Kerala,Renewable,Solar Rooftop,42.23
01-01-2020,Kerala,Renewable,Wind,62.5
01-01-2020,Ladakh,Non-Renewable,Hydro,89
01-01-2020,Ladakh,Non-Renewable,Natural Gas,0
01-01-2020,Ladakh,Non-Renewable,Nuclear,0
01-01-2020,Ladakh,Non-Renewable,Thermal,0
01-01-2020,Ladakh,Renewable,Bio Bagasse Cogen,0
01-01-2020,Ladakh,Renewable,Bio Other Cogen,0
01-01-2020,Ladakh,Renewable,Bio Waste,0
01-01-2020,Ladakh,Renewable,Bio Waster Offgrid,0
01-01-2020,Ladakh,Renewable,Small Hydro,0
01-01-2020,Ladakh,Renewable,Solar Ground,0
01-01-2020,Ladakh,Renewable,Solar Ground Based,0
01-01-2020,Ladakh,Renewable,Solar Hybrid,0
01-01-2020,Ladakh,Renewable,Solar Offgrid,0
01-01-2020,Ladakh,Renewable,Solar Rooftop,0
01-01-2020,Ladakh,Renewable,Wind,0
01-01-2020,Lakshadweep,Non-Renewable,Hydro,0
01-01-2020,Lakshadweep,Non-Renewable,Natural Gas,0
01-01-2020,Lakshadweep,Non-Renewable,Nuclear,0
01-01-2020,Lakshadweep,Non-Renewable,Thermal,0
01-01-2020,Lakshwadeep,Renewable,Bio Bagasse Cogen,0
01-01-2020,Lakshwadeep,Renewable,Bio Other Cogen,0
01-01-2020,Lakshwadeep,Renewable,Bio Waste,0
01-01-2020,Lakshwadeep,Renewable,Bio Waster Offgrid,0
01-01-2020,Lakshwadeep,Renewable,Small Hydro,0
01-01-2020,Lakshwadeep,Renewable,Solar Ground,0.75
01-01-2020,Lakshwadeep,Renewable,Solar Ground Based,0
01-01-2020,Lakshwadeep,Renewable,Solar Hybrid,0
01-01-2020,Lakshwadeep,Renewable,Solar Offgrid,0
01-01-2020,Lakshwadeep,Renewable,Solar Rooftop,0
01-01-2020,Lakshwadeep,Renewable,Wind,0
01-01-2020,Madhya Pradesh,Non-Renewable,Hydro,2235
01-01-2020,Madhya Pradesh,Non-Renewable,Natural Gas,0
01-01-2020,Madhya Pradesh,Non-Renewable,Nuclear,0
01-01-2020,Madhya Pradesh,Non-Renewable,Thermal,20490
01-01-2020,Madhya Pradesh,Renewable,Bio Bagasse Cogen,93
01-01-2020,Madhya Pradesh,Renewable,Bio Other Cogen,12.35
01-01-2020,Madhya Pradesh,Renewable,Bio Waste,15.4
01-01-2020,Madhya Pradesh,Renewable,Bio Waster Offgrid,0
01-01-2020,Madhya Pradesh,Renewable,Small Hydro,95.91
01-01-2020,Madhya Pradesh,Renewable,Solar Ground,2207.28
01-01-2020,Madhya Pradesh,Renewable,Solar Ground Based,0
01-01-2020,Madhya Pradesh,Renewable,Solar Hybrid,0
01-01-2020,Madhya Pradesh,Renewable,Solar Offgrid,0
01-01-2020,Madhya Pradesh,Renewable,Solar Rooftop,49.98
01-01-2020,Madhya Pradesh,Renewable,Wind,2519.89
01-01-2020,Maharashtra,Non-Renewable,Hydro,3047
01-01-2020,Maharashtra,Non-Renewable,Natural Gas,3207.08
01-01-2020,Maharashtra,Non-Renewable,Nuclear,1400
01-01-2020,Maharashtra,Non-Renewable,Thermal,25386
01-01-2020,Maharashtra,Renewable,Bio Bagasse Cogen,2499.7
01-01-2020,Maharashtra,Renewable,Bio Other Cogen,16.4
01-01-2020,Maharashtra,Renewable,Bio Waste,12.59
01-01-2020,Maharashtra,Renewable,Bio Waster Offgrid,0
01-01-2020,Maharashtra,Renewable,Small Hydro,379.575
01-01-2020,Maharashtra,Renewable,Solar Ground,1447.3
01-01-2020,Maharashtra,Renewable,Solar Ground Based,0
01-01-2020,Maharashtra,Renewable,Solar Hybrid,0
01-01-2020,Maharashtra,Renewable,Solar Offgrid,0
01-01-2020,Maharashtra,Renewable,Solar Rooftop,219.56
01-01-2020,Maharashtra,Renewable,Wind,5000.33
01-01-2020,Manipur,Non-Renewable,Hydro,105
01-01-2020,Manipur,Non-Renewable,Natural Gas,0
01-01-2020,Manipur,Non-Renewable,Nuclear,0
01-01-2020,Manipur,Non-Renewable,Thermal,36
01-01-2020,Manipur,Renewable,Bio Bagasse Cogen,0
01-01-2020,Manipur,Renewable,Bio Other Cogen,0
01-01-2020,Manipur,Renewable,Bio Waste,0
01-01-2020,Manipur,Renewable,Bio Waster Offgrid,0
01-01-2020,Manipur,Renewable,Small Hydro,5.45
01-01-2020,Manipur,Renewable,Solar Ground,0
01-01-2020,Manipur,Renewable,Solar Ground Based,0
01-01-2020,Manipur,Renewable,Solar Hybrid,0
01-01-2020,Manipur,Renewable,Solar Offgrid,0
01-01-2020,Manipur,Renewable,Solar Rooftop,5.16
01-01-2020,Manipur,Renewable,Wind,0
01-01-2020,Meghalaya,Non-Renewable,Hydro,322
01-01-2020,Meghalaya,Non-Renewable,Natural Gas,0
01-01-2020,Meghalaya,Non-Renewable,Nuclear,0
01-01-2020,Meghalaya,Non-Renewable,Thermal,0
01-01-2020,Meghalaya,Renewable,Bio Bagasse Cogen,0
01-01-2020,Meghalaya,Renewable,Bio Other Cogen,13.8
01-01-2020,Meghalaya,Renewable,Bio Waste,0
01-01-2020,Meghalaya,Renewable,Bio Waster Offgrid,0
01-01-2020,Meghalaya,Renewable,Small Hydro,32.53
01-01-2020,Meghalaya,Renewable,Solar Ground,0
01-01-2020,Meghalaya,Renewable,Solar Ground Based,0
01-01-2020,Meghalaya,Renewable,Solar Hybrid,0
01-01-2020,Meghalaya,Renewable,Solar Offgrid,0
01-01-2020,Meghalaya,Renewable,Solar Rooftop,0.12
01-01-2020,Meghalaya,Renewable,Wind,0
01-01-2020,Mizoram,Non-Renewable,Hydro,60
01-01-2020,Mizoram,Non-Renewable,Natural Gas,0
01-01-2020,Mizoram,Non-Renewable,Nuclear,0
01-01-2020,Mizoram,Non-Renewable,Thermal,0
01-01-2020,Mizoram,Renewable,Bio Bagasse Cogen,0
01-01-2020,Mizoram,Renewable,Bio Other Cogen,0
01-01-2020,Mizoram,Renewable,Bio Waste,0
01-01-2020,Mizoram,Renewable,Bio Waster Offgrid,0
01-01-2020,Mizoram,Renewable,Small Hydro,36.47
01-01-2020,Mizoram,Renewable,Solar Ground,0.1
01-01-2020,Mizoram,Renewable,Solar Ground Based,0
01-01-2020,Mizoram,Renewable,Solar Hybrid,0
01-01-2020,Mizoram,Renewable,Solar Offgrid,0
01-01-2020,Mizoram,Renewable,Solar Rooftop,1.42
01-01-2020,Mizoram,Renewable,Wind,0
01-01-2020,Nagaland,Non-Renewable,Hydro,75
01-01-2020,Nagaland,Non-Renewable,Natural Gas,0
01-01-2020,Nagaland,Non-Renewable,Nuclear,0
01-01-2020,Nagaland,Non-Renewable,Thermal,0
01-01-2020,Nagaland,Renewable,Bio Bagasse Cogen,0
01-01-2020,Nagaland,Renewable,Bio Other Cogen,0
01-01-2020,Nagaland,Renewable,Bio Waste,0
01-01-2020,Nagaland,Renewable,Bio Waster Offgrid,0
01-01-2020,Nagaland,Renewable,Small Hydro,30.67
01-01-2020,Nagaland,Renewable,Solar Ground,0
01-01-2020,Nagaland,Renewable,Solar Ground Based,0
01-01-2020,Nagaland,Renewable,Solar Hybrid,0
01-01-2020,Nagaland,Renewable,Solar Offgrid,0
01-01-2020,Nagaland,Renewable,Solar Rooftop,1
01-01-2020,Nagaland,Renewable,Wind,0
01-01-2020,Odisha,Non-Renewable,Hydro,2142.25
01-01-2020,Odisha,Non-Renewable,Natural Gas,0
01-01-2020,Odisha,Non-Renewable,Nuclear,0
01-01-2020,Odisha,Non-Renewable,Thermal,9800
01-01-2020,Odisha,Renewable,Bio Bagasse Cogen,50.4
01-01-2020,Odisha,Renewable,Bio Other Cogen,8.82
01-01-2020,Odisha,Renewable,Bio Waste,0
01-01-2020,Odisha,Renewable,Bio Waster Offgrid,0
01-01-2020,Odisha,Renewable,Small Hydro,64.625
01-01-2020,Odisha,Renewable,Solar Ground,383.56
01-01-2020,Odisha,Renewable,Solar Ground Based,0
01-01-2020,Odisha,Renewable,Solar Hybrid,0
01-01-2020,Odisha,Renewable,Solar Offgrid,0
01-01-2020,Odisha,Renewable,Solar Rooftop,14.28
01-01-2020,Odisha,Renewable,Wind,0
01-01-2020,Others,Renewable,Bio Bagasse Cogen,0
01-01-2020,Others,Renewable,Bio Other Cogen,0
01-01-2020,Others,Renewable,Bio Waste,0
01-01-2020,Others,Renewable,Bio Waster Offgrid,0
01-01-2020,Others,Renewable,Small Hydro,0
01-01-2020,Others,Renewable,Solar Ground,0
01-01-2020,Others,Renewable,Solar Ground Based,0
01-01-2020,Others,Renewable,Solar Hybrid,0
01-01-2020,Others,Renewable,Solar Offgrid,0
01-01-2020,Others,Renewable,Solar Rooftop,0
01-01-2020,Others,Renewable,Wind,4.3
01-01-2020,Pondicherry,Non-Renewable,Hydro,0
01-01-2020,Pondicherry,Non-Renewable,Natural Gas,32.5
01-01-2020,Pondicherry,Non-Renewable,Nuclear,0
01-01-2020,Pondicherry,Non-Renewable,Thermal,0
01-01-2020,Pondicherry,Renewable,Bio Bagasse Cogen,0
01-01-2020,Pondicherry,Renewable,Bio Other Cogen,0
01-01-2020,Pondicherry,Renewable,Bio Waste,0
01-01-2020,Pondicherry,Renewable,Bio Waster Offgrid,0
01-01-2020,Pondicherry,Renewable,Small Hydro,0
01-01-2020,Pondicherry,Renewable,Solar Ground,0.03
01-01-2020,Pondicherry,Renewable,Solar Ground Based,0
01-01-2020,Pondicherry,Renewable,Solar Hybrid,0
01-01-2020,Pondicherry,Renewable,Solar Offgrid,0
01-01-2020,Pondicherry,Renewable,Solar Rooftop,5.48
01-01-2020,Pondicherry,Renewable,Wind,0
01-01-2020,Punjab,Non-Renewable,Hydro,1096.3
01-01-2020,Punjab,Non-Renewable,Natural Gas,0
01-01-2020,Punjab,Non-Renewable,Nuclear,0
01-01-2020,Punjab,Non-Renewable,Thermal,5680
01-01-2020,Punjab,Renewable,Bio Bagasse Cogen,194
01-01-2020,Punjab,Renewable,Bio Other Cogen,123.1
01-01-2020,Punjab,Renewable,Bio Waste,10.75
01-01-2020,Punjab,Renewable,Bio Waster Offgrid,0
01-01-2020,Punjab,Renewable,Small Hydro,173.55
01-01-2020,Punjab,Renewable,Solar Ground,828.58
01-01-2020,Punjab,Renewable,Solar Ground Based,0
01-01-2020,Punjab,Renewable,Solar Hybrid,0
01-01-2020,Punjab,Renewable,Solar Offgrid,0
01-01-2020,Punjab,Renewable,Solar Rooftop,118.52
01-01-2020,Punjab,Renewable,Wind,0
01-01-2020,Rajasthan,Non-Renewable,Hydro,411
01-01-2020,Rajasthan,Non-Renewable,Natural Gas,1023.13
01-01-2020,Rajasthan,Non-Renewable,Nuclear,1180
01-01-2020,Rajasthan,Non-Renewable,Thermal,9160
01-01-2020,Rajasthan,Renewable,Bio Bagasse Cogen,119.3
01-01-2020,Rajasthan,Renewable,Bio Other Cogen,2
01-01-2020,Rajasthan,Renewable,Bio Waste,0
01-01-2020,Rajasthan,Renewable,Bio Waster Offgrid,0
01-01-2020,Rajasthan,Renewable,Small Hydro,23.85
01-01-2020,Rajasthan,Renewable,Solar Ground,4811.08
01-01-2020,Rajasthan,Renewable,Solar Ground Based,0
01-01-2020,Rajasthan,Renewable,Solar Hybrid,0
01-01-2020,Rajasthan,Renewable,Solar Offgrid,0
01-01-2020,Rajasthan,Renewable,Solar Rooftop,224
01-01-2020,Rajasthan,Renewable,Wind,4299.72
01-01-2020,Sikkim,Non-Renewable,Hydro,2169
01-01-2020,Sikkim,Non-Renewable,Natural Gas,0
01-01-2020,Sikkim,Non-Renewable,Nuclear,0
01-01-2020,Sikkim,Non-Renewable,Thermal,0
01-01-2020,Sikkim,Renewable,Bio Bagasse Cogen,0
01-01-2020,Sikkim,Renewable,Bio Other Cogen,0
01-01-2020,Sikkim,Renewable,Bio Waste,0
01-01-2020,Sikkim,Renewable,Bio Waster Offgrid,0
01-01-2020,Sikkim,Renewable,Small Hydro,52.11
