YYYY-MM,State,Type,Source,Capacity_MW
2020-01,Delhi,Renewable,Bio Waste,52
2020-01,Delhi,Renewable,Solar Ground,8.96
2020-01,Delhi,Renewable,Solar Rooftop,147.16
2020-01,Goa,Non-Renewable,Natural Gas,48
2020-01,Goa,Renewable,Small Hydro,0.05
2020-01,Goa,Renewable,Solar Ground,0.95
2020-01,Goa,Renewable,Solar Rooftop,3.83
2020-01,Gujarat,Non-Renewable,Hydro,1990
2020-01,Gujarat,Non-Renewable,Natural Gas,7551.41
2020-01,Gujarat,Non-Renewable,Nuclear,440
2020-01,Gujarat,Non-Renewable,Thermal,16232
2020-01,Gujarat,Renewable,Bio Bagasse Cogen,65.3
2020-01,Gujarat,Renewable,Bio Other Cogen,12
2020-01,Gujarat,Renewable,Small Hydro,62.352
2020-01,Gujarat,Renewable,Solar Ground,2362.21
2020-01,Gujarat,Renewable,Solar Rooftop,430.24
2020-01,Gujarat,Renewable,Wind,7460.02
2020-01,Haryana,Non-Renewable,Natural Gas,431.59
2020-01,Haryana,Non-Renewable,Thermal,5540
2020-01,Haryana,Renewable,Bio Bagasse Cogen,121.4
2020-01,Haryana,Renewable,Bio Other Cogen,84.26
2020-01,Haryana,Renewable,Small Hydro,73.5
2020-01,Haryana,Renewable,Solar Ground,130.8
2020-01,Haryana,Renewable,Solar Rooftop,121.34
2020-01,Himachal Pradesh,Non-Renewable,Hydro,9809.02
2020-01,Himachal Pradesh,Renewable,Bio Other Cogen,7.2
2020-01,Himachal Pradesh,Renewable,Small Hydro,911.51
2020-01,Himachal Pradesh,Renewable,Solar Ground,17
2020-01,Himachal Pradesh,Renewable,Solar Rooftop,15.93
2020-01,Jammu & Kashmir,Non-Renewable,Hydro,3360
2020-01,Jammu & Kashmir,Non-Renewable,Natural Gas,175
2020-01,Jammu & Kashmir,Renewable,Small Hydro,180.48
2020-01,Jammu & Kashmir,Renewable,Solar Ground,8.49
2020-01,Jammu & Kashmir,Renewable,Solar Rooftop,10.81
2020-01,Jharkhand,Non-Renewable,Hydro,210
2020-01,Jharkhand,Non-Renewable,Thermal,4590
2020-01,Jharkhand,Renewable,Bio Other Cogen,4.3
2020-01,Jharkhand,Renewable,Small Hydro,4.05
2020-01,Jharkhand,Renewable,Solar Ground,19.05
2020-01,Jharkhand,Renewable,Solar Rooftop,19.35
2020-01,Karnataka,Non-Renewable,Hydro,3644.2
2020-01,Karnataka,Non-Renewable,Nuclear,880
2020-01,Karnataka,Non-Renewable,Thermal,9505.2
2020-01,Karnataka,Renewable,Bio Bagasse Cogen,1866.6
2020-01,Karnataka,Renewable,Bio Other Cogen,15.2
2020-01,Karnataka,Renewable,Bio Waste,1
2020-01,Karnataka,Renewable,Small Hydro,1280.73
2020-01,Karnataka,Renewable,Solar Ground,7042.16
2020-01,Karnataka,Renewable,Solar Rooftop,232.77
2020-01,Karnataka,Renewable,Wind,4754.9
2020-01,Kerala,Non-Renewable,Hydro,1856.5
2020-01,Kerala,Non-Renewable,Natural Gas,533.58
2020-01,Kerala,Non-Renewable,Thermal,159.96
2020-01,Kerala,Renewable,Bio Other Cogen,0.72
2020-01,Kerala,Renewable,Small Hydro,222.02
2020-01,Kerala,Renewable,Solar Ground,100
2020-01,Kerala,Renewable,Solar Rooftop,42.23
2020-01,Kerala,Renewable,Wind,62.5
2020-01,Ladakh,Non-Renewable,Hydro,89
2020-01,Lakshwadeep,Renewable,Solar Ground,0.75
2020-01,Madhya Pradesh,Non-Renewable,Hydro,2235
2020-01,Madhya Pradesh,Non-Renewable,Thermal,20490
2020-01,Madhya Pradesh,Renewable,Bio Bagasse Cogen,93
2020-01,Madhya Pradesh,Renewable,Bio Other Cogen,12.35
2020-01,Madhya Pradesh,Renewable,Bio Waste,15.4
2020-01,Madhya Pradesh,Renewable,Small Hydro,95.91
2020-01,Madhya Pradesh,Renewable,Solar Ground,2207.28
2020-01,Madhya Pradesh,Renewable,Solar Rooftop,49.98
2020-01,Madhya Pradesh,Renewable,Wind,2519.89
2020-01,Maharashtra,Non-Renewable,Hydro,3047
2020-01,Maharashtra,Non-Renewable,Natural Gas,3207.08
2020-01,Maharashtra,Non-Renewable,Nuclear,1400
2020-01,Maharashtra,Non-Renewable,Thermal,25386
2020-01,Maharashtra,Renewable,Bio Bagasse Cogen,2499.7
2020-01,Maharashtra,Renewable,Bio Other Cogen,16.4
2020-01,Maharashtra,Renewable,Bio Waste,12.59
2020-01,Maharashtra,Renewable,Small Hydro,379.575
2020-01,Maharashtra,Renewable,Solar Ground,1447.3
2020-01,Maharashtra,Renewable,Solar Rooftop,219.56
2020-01,Maharashtra,Renewable,Wind,5000.33
2020-01,Manipur,Non-Renewable,Hydro,105
2020-01,Manipur,Non-Renewable,Thermal,36
2020-01,Manipur,Renewable,Small Hydro,5.45
2020-01,Manipur,Renewable,Solar Rooftop,5.16
2020-01,Meghalaya,Non-Renewable,Hydro,322
2020-01,Meghalaya,Renewable,Bio Other Cogen,13.8
2020-01,Meghalaya,Renewable,Small Hydro,32.53
2020-01,Meghalaya,Renewable,Solar Rooftop,0.12
2020-01,Mizoram,Non-Renewable,Hydro,60
2020-01,Mizoram,Renewable,Small Hydro,36.47
2020-01,Mizoram,Renewable,Solar Ground,0.1
2020-01,Mizoram,Renewable,Solar Rooftop,1.42
2020-01,Nagaland,Non-Renewable,Hydro,75
2020-01,Nagaland,Renewable,Small Hydro,30.67
2020-01,Nagaland,Renewable,Solar Rooftop,1
2020-01,Odisha,Non-Renewable,Hydro,2142.25
2020-01,Odisha,Non-Renewable,Thermal,9800
2020-01,Odisha,Renewable,Bio Bagasse Cogen,50.4
2020-01,Odisha,Renewable,Bio Other Cogen,8.82
2020-01,Odisha,Renewable,Small Hydro,64.625
2020-01,Odisha,Renewable,Solar Ground,383.56
2020-01,Odisha,Renewable,Solar Rooftop,14.28
2020-01,Others,Renewable,Wind,4.3
2020-01,Pondicherry,Non-Renewable,Natural Gas,32.5
2020-01,Pondicherry,Renewable,Solar Ground,0.03
2020-01,Pondicherry,Renewable,Solar Rooftop,5.48
2020-01,Punjab,Non-Renewable,Hydro,1096.3
2020-01,Punjab,Non-Renewable,Thermal,5680
2020-01,Punjab,Renewable,Bio Bagasse Cogen,194
2020-01,Punjab,Renewable,Bio Other Cogen,123.1
2020-01,Punjab,Renewable,Bio Waste,10.75
2020-01,Punjab,Renewable,Small Hydro,173.55
2020-01,Punjab,Renewable,Solar Ground,828.58
2020-01,Punjab,Renewable,Solar Rooftop,118.52
2020-01,Rajasthan,Non-Renewable,Hydro,411
2020-01,Rajasthan,Non-Renewable,Natural Gas,1023.13
2020-01,Rajasthan,Non-Renewable,Nuclear,1180
2020-01,Rajasthan,Non-Renewable,Thermal,9160
2020-01,Rajasthan,Renewable,Bio Bagasse Cogen,119.3
2020-01,Rajasthan,Renewable,Bio Other Cogen,2
2020-01,Rajasthan,Renewable,Small Hydro,23.85
2020-01,Rajasthan,Renewable,Solar Ground,4811.08
2020-01,Rajasthan,Renewable,Solar Rooftop,224
2020-01,Rajasthan,Renewable,Wind,4299.72
2020-01,Sikkim,Non-Renewable,Hydro,2169
2020-01,Sikkim,Renewable,Small Hydro,52.11
2020-01,Sikkim,Renewable,Solar Rooftop,0.07
2020-01,Tamil Nadu,Non-Renewable,Hydro,2178.2
2020-01,Tamil Nadu,Non-Renewable,Natural Gas,1017.18
2020-01,Tamil Nadu,Non-Renewable,Nuclear,2440
2020-01,Tamil Nadu,Non-Renewable,Thermal,13371.701
2020-01,Tamil Nadu,Renewable,Bio Bagasse Cogen,969
2020-01,Tamil Nadu,Renewable,Bio Other Cogen,28.55
2020-01,Tamil Nadu,Renewable,Bio Waste,6.4
2020-01,Tamil Nadu,Renewable,Small Hydro,123.05
2020-01,Tamil Nadu,Renewable,Solar Ground,3632.52
2020-01,Tamil Nadu,Renewable,Solar Rooftop,155.99
2020-01,Tamil Nadu,Renewable,Wind,9285.49
2020-01,Telangana,Non-Renewable,Hydro,2405.6
2020-01,Telangana,Non-Renewable,Thermal,7182.5
2020-01,Telangana,Renewable,Bio Bagasse Cogen,158.1
2020-01,Telangana,Renewable,Bio Other Cogen,1
2020-01,Telangana,Renewable,Bio Waste,18.5
2020-01,Telangana,Renewable,Small Hydro,90.87
2020-01,Telangana,Renewable,Solar Ground,3530.29
2020-01,Telangana,Renewable,Solar Rooftop,90.46
2020-01,Telangana,Renewable,Wind,128.1
2020-01,Tripura,Non-Renewable,Natural Gas,1132.1
2020-01,Tripura,Renewable,Small Hydro,16.01
2020-01,Tripura,Renewable,Solar Ground,5
2020-01,Tripura,Renewable,Solar Rooftop,4.41
2020-01,Uttar Pradesh,Non-Renewable,Hydro,501.6
2020-01,Uttar Pradesh,Non-Renewable,Natural Gas,1493.14
2020-01,Uttar Pradesh,Non-Renewable,Nuclear,440
2020-01,Uttar Pradesh,Non-Renewable,Thermal,22409
2020-01,Uttar Pradesh,Renewable,Bio Bagasse Cogen,1957.5
2020-01,Uttar Pradesh,Renewable,Bio Other Cogen,158.01
2020-01,Uttar Pradesh,Renewable,Small Hydro,25.1
2020-01,Uttar Pradesh,Renewable,Solar Ground,949
2020-01,Uttar Pradesh,Renewable,Solar Rooftop,146.1
2020-01,Uttarakhand,Non-Renewable,Hydro,3756.35
2020-01,Uttarakhand,Non-Renewable,Natural Gas,450
2020-01,Uttarakhand,Renewable,Bio Bagasse Cogen,73
2020-01,Uttarakhand,Renewable,Bio Other Cogen,57.5
2020-01,Uttarakhand,Renewable,Small Hydro,214.32
2020-01,Uttarakhand,Renewable,Solar Ground,239.78
2020-01,Uttarakhand,Renewable,Solar Rooftop,76.12
2020-01,West Bengal,Non-Renewable,Hydro,1341.2
2020-01,West Bengal,Non-Renewable,Natural Gas,80
2020-01,West Bengal,Non-Renewable,Thermal,14275
2020-01,West Bengal,Renewable,Bio Bagasse Cogen,300
2020-01,West Bengal,Renewable,Bio Other Cogen,19.92
2020-01,West Bengal,Renewable,Small Hydro,98.5
2020-01,West Bengal,Renewable,Solar Ground,70
2020-01,West Bengal,Renewable,Solar Rooftop,44.46
2021-01,Andaman & Nicobar,Non-Renewable,Thermal,40.048
2021-01,Andaman & Nicobar,Renewable,Small Hydro,5.25
2021-01,Andaman & Nicobar,Renewable,Solar Ground,24.63
2021-01,Andaman & Nicobar,Renewable,Solar Rooftop,4.59
2021-01,Andhra Pradesh,Non-Renewable,Hydro,1610
2021-01,Andhra Pradesh,Non-Renewable,Natural Gas,4898.544
2021-01,Andhra Pradesh,Non-Renewable,Thermal,11626.8
2021-01,Andhra Pradesh,Renewable,Bio Bagasse Cogen,378.1
2021-01,Andhra Pradesh,Renewable,Bio Other Cogen,105.57
2021-01,Andhra Pradesh,Renewable,Bio Waste,23.16
2021-01,Andhra Pradesh,Renewable,Small Hydro,162.11
2021-01,Andhra Pradesh,Renewable,Solar Ground,3858.24
2021-01,Andhra Pradesh,Renewable,Solar Rooftop,138.26
2021-01,Andhra Pradesh,Renewable,Wind,4096.65
2021-01,Arunachal Pradesh,Non-Renewable,Hydro,965
2021-01,Arunachal Pradesh,Renewable,Small Hydro,131.105
2021-01,Arunachal Pradesh,Renewable,Solar Ground,1.27
2021-01,Arunachal Pradesh,Renewable,Solar Rooftop,4.34
2021-01,Assam,Non-Renewable,Hydro,350
2021-01,Assam,Non-Renewable,Natural Gas,620.355
2021-01,Assam,Non-Renewable,Thermal,750
2021-01,Assam,Renewable,Bio Other Cogen,2
2021-01,Assam,Renewable,Small Hydro,34.11
2021-01,Assam,Renewable,Solar Ground,10.67
2021-01,Assam,Renewable,Solar Rooftop,32.32
2021-01,Bihar,Non-Renewable,Thermal,6390
2021-01,Bihar,Renewable,Bio Bagasse Cogen,112.5
2021-01,Bihar,Renewable,Bio Other Cogen,12.2
2021-01,Bihar,Renewable,Small Hydro,70.7
2021-01,Bihar,Renewable,Solar Ground,138.93
2021-01,Bihar,Renewable,Solar Rooftop,18.48
2021-01,Chandigarh,Renewable,Solar Ground,6.34
2021-01,Chandigarh,Renewable,Solar Rooftop,38.82
2021-01,Chhatisgarh,Non-Renewable,Hydro,120
2021-01,Chhatisgarh,Non-Renewable,Thermal,23688
2021-01,Chhatisgarh,Renewable,Bio Bagasse Cogen,242.4
2021-01,Chhatisgarh,Renewable,Bio Other Cogen,2.5
2021-01,Chhatisgarh,Renewable,Small Hydro,76
2021-01,Chhatisgarh,Renewable,Solar Ground,215.83
2021-01,Chhatisgarh,Renewable,Solar Rooftop,27.28
2021-01,Dadar & Nagar Haveli,Renewable,Solar Ground,2.49
2021-01,Dadar & Nagar Haveli,Renewable,Solar Rooftop,2.97
2021-01,Daman & Diu,Renewable,Solar Ground,10.15
2021-01,Daman & Diu,Renewable,Solar Rooftop,30.4
2021-01,Delhi,Non-Renewable,Natural Gas,2208.4
2021-01,Delhi,Renewable,Bio Waste,52
2021-01,Delhi,Renewable,Solar Ground,8.96
2021-01,Delhi,Renewable,Solar Rooftop,167.5
2021-01,Goa,Non-Renewable,Natural Gas,48
2021-01,Goa,Renewable,Bio Waste,0.34
2021-01,Goa,Renewable,Small Hydro,0.05
2021-01,Goa,Renewable,Solar Ground,0.95
2021-01,Goa,Renewable,Solar Rooftop,6.49
2021-01,Gujarat,Non-Renewable,Hydro,1990
2021-01,Gujarat,Non-Renewable,Natural Gas,7551.41
2021-01,Gujarat,Non-Renewable,Nuclear,440
2021-01,Gujarat,Non-Renewable,Thermal,16232
2021-01,Gujarat,Renewable,Bio Bagasse Cogen,65.3
2021-01,Gujarat,Renewable,Bio Other Cogen,12
2021-01,Gujarat,Renewable,Small Hydro,78.94
2021-01,Gujarat,Renewable,Solar Ground,3124.68
2021-01,Gujarat,Renewable,Solar Rooftop,917.41
2021-01,Gujarat,Renewable,Wind,8244.52
2021-01,Haryana,Non-Renewable,Natural Gas,431.59
2021-01,Haryana,Non-Renewable,Thermal,5330
2021-01,Haryana,Renewable,Bio Bagasse Cogen,121.4
2021-01,Haryana,Renewable,Bio Other Cogen,89.26
2021-01,Haryana,Renewable,Bio Waste,1.2
2021-01,Haryana,Renewable,Small Hydro,73.5
2021-01,Haryana,Renewable,Solar Ground,130.8
2021-01,Haryana,Renewable,Solar Rooftop,277.03
2021-01,Himachal Pradesh,Non-Renewable,Hydro,9920.02
2021-01,Himachal Pradesh,Renewable,Bio Other Cogen,9.2
2021-01,Himachal Pradesh,Renewable,Small Hydro,911.51
2021-01,Himachal Pradesh,Renewable,Solar Ground,24
2021-01,Himachal Pradesh,Renewable,Solar Rooftop,18.73
2021-01,Jammu & Kashmir,Non-Renewable,Hydro,3360
2021-01,Jammu & Kashmir,Non-Renewable,Natural Gas,175
2021-01,Jammu & Kashmir,Renewable,Small Hydro,185.98
2021-01,Jammu & Kashmir,Renewable,Solar Ground,8.49
2021-01,Jammu & Kashmir,Renewable,Solar Rooftop,12.24
2021-01,Jharkhand,Non-Renewable,Hydro,210
2021-01,Jharkhand,Non-Renewable,Thermal,4460
2021-01,Jharkhand,Renewable,Bio Other Cogen,4.3
2021-01,Jharkhand,Renewable,Small Hydro,4.05
2021-01,Jharkhand,Renewable,Solar Ground,19.05
2021-01,Jharkhand,Renewable,Solar Rooftop,29.58
2021-01,Karnataka,Non-Renewable,Hydro,3644.2
2021-01,Karnataka,Non-Renewable,Nuclear,880
2021-01,Karnataka,Non-Renewable,Thermal,9505.2
2021-01,Karnataka,Renewable,Bio Bagasse Cogen,1867.1
2021-01,Karnataka,Renewable,Bio Other Cogen,20.2
2021-01,Karnataka,Renewable,Bio Waste,1
2021-01,Karnataka,Renewable,Small Hydro,1280.73
2021-01,Karnataka,Renewable,Solar Ground,7091.75
2021-01,Karnataka,Renewable,Solar Rooftop,255.1
2021-01,Karnataka,Renewable,Wind,4872.1
2021-01,Kerala,Non-Renewable,Hydro,1856.5
2021-01,Kerala,Non-Renewable,Natural Gas,533.58
2021-01,Kerala,Non-Renewable,Thermal,159.96
2021-01,Kerala,Renewable,Bio Other Cogen,2.27
2021-01,Kerala,Renewable,Small Hydro,230.02
2021-01,Kerala,Renewable,Solar Ground,100
2021-01,Kerala,Renewable,Solar Rooftop,89.75
2021-01,Kerala,Renewable,Wind,62.5
2021-01,Ladakh,Non-Renewable,Hydro,89
2021-01,Lakshwadeep,Renewable,Solar Ground,0.75
2021-01,Madhya Pradesh,Non-Renewable,Hydro,2235
2021-01,Madhya Pradesh,Non-Renewable,Thermal,21150
2021-01,Madhya Pradesh,Renewable,Bio Bagasse Cogen,92.5
2021-01,Madhya Pradesh,Renewable,Bio Other Cogen,14.85
2021-01,Madhya Pradesh,Renewable,Bio Waste,15.4
2021-01,Madhya Pradesh,Renewable,Small Hydro,99.71
2021-01,Madhya Pradesh,Renewable,Solar Ground,2381.31
2021-01,Madhya Pradesh,Renewable,Solar Rooftop,76.91
2021-01,Madhya Pradesh,Renewable,Wind,2519.89
2021-01,Maharashtra,Non-Renewable,Hydro,3047
2021-01,Maharashtra,Non-Renewable,Natural Gas,3207.08
2021-01,Maharashtra,Non-Renewable,Nuclear,1400
2021-01,Maharashtra,Non-Renewable,Thermal,24966
2021-01,Maharashtra,Renewable,Bio Bagasse Cogen,2568
2021-01,Maharashtra,Renewable,Bio Other Cogen,16.4
2021-01,Maharashtra,Renewable,Bio Waste,12.59
2021-01,Maharashtra,Renewable,Small Hydro,379.58
2021-01,Maharashtra,Renewable,Solar Ground,1642.24
2021-01,Maharashtra,Renewable,Solar Rooftop,647.73
2021-01,Maharashtra,Renewable,Wind,5000.33
2021-01,Manipur,Non-Renewable,Hydro,105
2021-01,Manipur,Non-Renewable,Thermal,36
2021-01,Manipur,Renewable,Small Hydro,5.45
2021-01,Manipur,Renewable,Solar Rooftop,6.36
2021-01,Meghalaya,Non-Renewable,Hydro,322
2021-01,Meghalaya,Renewable,Bio Other Cogen,13.8
2021-01,Meghalaya,Renewable,Small Hydro,32.53
2021-01,Meghalaya,Renewable,Solar Rooftop,0.12
2021-01,Mizoram,Non-Renewable,Hydro,60
2021-01,Mizoram,Renewable,Small Hydro,36.47
2021-01,Mizoram,Renewable,Solar Ground,0.1
2021-01,Mizoram,Renewable,Solar Rooftop,1.43
2021-01,Nagaland,Non-Renewable,Hydro,75
2021-01,Nagaland,Renewable,Small Hydro,30.67
2021-01,Nagaland,Renewable,Solar Rooftop,1
2021-01,Odisha,Non-Renewable,Hydro,2142.25
2021-01,Odisha,Non-Renewable,Thermal,9800
2021-01,Odisha,Renewable,Bio Bagasse Cogen,50.4
2021-01,Odisha,Renewable,Bio Other Cogen,8.82
2021-01,Odisha,Renewable,Small Hydro,88.63
2021-01,Odisha,Renewable,Solar Ground,383.56
2021-01,Odisha,Renewable,Solar Rooftop,18.16
2021-01,Others,Renewable,Wind,4.3
2021-01,Pondicherry,Non-Renewable,Natural Gas,32.5
2021-01,Pondicherry,Renewable,Solar Ground,0.03
2021-01,Pondicherry,Renewable,Solar Rooftop,9.3
2021-01,Punjab,Non-Renewable,Hydro,1096.3
2021-01,Punjab,Non-Renewable,Thermal,5680
2021-01,Punjab,Renewable,Bio Bagasse Cogen,299.5
2021-01,Punjab,Renewable,Bio Other Cogen,173.95
2021-01,Punjab,Renewable,Bio Waste,10.75
2021-01,Punjab,Renewable,Small Hydro,173.55
2021-01,Punjab,Renewable,Solar Ground,828.58
2021-01,Punjab,Renewable,Solar Rooftop,118.52
2021-01,Rajasthan,Non-Renewable,Hydro,411
2021-01,Rajasthan,Non-Renewable,Natural Gas,1023.13
2021-01,Rajasthan,Non-Renewable,Nuclear,1180
2021-01,Rajasthan,Non-Renewable,Thermal,9820
2021-01,Rajasthan,Renewable,Bio Bagasse Cogen,119.25
2021-01,Rajasthan,Renewable,Bio Other Cogen,2
2021-01,Rajasthan,Renewable,Small Hydro,23.85
2021-01,Rajasthan,Renewable,Solar Ground,5002.08
2021-01,Rajasthan,Renewable,Solar Rooftop,395
2021-01,Rajasthan,Renewable,Wind,4326.82
2021-01,Sikkim,Non-Renewable,Hydro,2169
2021-01,Sikkim,Renewable,Small Hydro,52.11
2021-01,Sikkim,Renewable,Solar Rooftop,0.07
2021-01,Tamil Nadu,Non-Renewable,Hydro,2178.2
2021-01,Tamil Nadu,Non-Renewable,Natural Gas,1017.18
2021-01,Tamil Nadu,Non-Renewable,Nuclear,2440
2021-01,Tamil Nadu,Non-Renewable,Thermal,12871.701
2021-01,Tamil Nadu,Renewable,Bio Bagasse Cogen,969.1
2021-01,Tamil Nadu,Renewable,Bio Other Cogen,43.55
2021-01,Tamil Nadu,Renewable,Bio Waste,6.4
2021-01,Tamil Nadu,Renewable,Small Hydro,123.05
2021-01,Tamil Nadu,Renewable,Solar Ground,4006.15
2021-01,Tamil Nadu,Renewable,Solar Rooftop,309.63
2021-01,Tamil Nadu,Renewable,Wind,9428.44
2021-01,Telangana,Non-Renewable,Hydro,2405.6
2021-01,Telangana,Non-Renewable,Thermal,7302.5
2021-01,Telangana,Renewable,Bio Bagasse Cogen,158.1
2021-01,Telangana,Renewable,Bio Other Cogen,2
2021-01,Telangana,Renewable,Bio Waste,45.8
2021-01,Telangana,Renewable,Small Hydro,90.87
2021-01,Telangana,Renewable,Solar Ground,3784.27
2021-01,Telangana,Renewable,Solar Rooftop,152.09
2021-01,Telangana,Renewable,Wind,128.1
2021-01,Tripura,Non-Renewable,Natural Gas,1132.1
2021-01,Tripura,Renewable,Small Hydro,16.01
2021-01,Tripura,Renewable,Solar Ground,5
2021-01,Tripura,Renewable,Solar Rooftop,4.41
2021-01,Uttar Pradesh,Non-Renewable,Hydro,501.6
2021-01,Uttar Pradesh,Non-Renewable,Natural Gas,1493.14
2021-01,Uttar Pradesh,Non-Renewable,Nuclear,440
2021-01,Uttar Pradesh,Non-Renewable,Thermal,23069
2021-01,Uttar Pradesh,Renewable,Bio Bagasse Cogen,1957.5
2021-01,Uttar Pradesh,Renewable,Bio Other Cogen,159.76
2021-01,Uttar Pradesh,Renewable,Small Hydro,49.1
2021-01,Uttar Pradesh,Renewable,Solar Ground,1410.25
2021-01,Uttar Pradesh,Renewable,Solar Rooftop,257.25
2021-01,Uttarakhand,Non-Renewable,Hydro,3855.35
2021-01,Uttarakhand,Non-Renewable,Natural Gas,450
2021-01,Uttarakhand,Renewable,Bio Bagasse Cogen,72.72
2021-01,Uttarakhand,Renewable,Bio Other Cogen,57.5
2021-01,Uttarakhand,Renewable,Small Hydro,214.32
2021-01,Uttarakhand,Renewable,Solar Ground,239.78
2021-01,Uttarakhand,Renewable,Solar Rooftop,113.63
2021-01,West Bengal,Non-Renewable,Hydro,1341.2
2021-01,West Bengal,Non-Renewable,Natural Gas,80
2021-01,West Bengal,Non-Renewable,Thermal,14165
2021-01,West Bengal,Renewable,Bio Bagasse Cogen,300
2021-01,West Bengal,Renewable,Bio Other Cogen,19.92
2021-01,West Bengal,Renewable,Small Hydro,98.5
2021-01,West Bengal,Renewable,Solar Ground,100
2021-01,West Bengal,Renewable,Solar Rooftop,49.84
2022-01,Andaman & Nicobar,Non-Renewable,Thermal,40.048
2022-01,Andaman & Nicobar,Renewable,Small Hydro,5.25
2022-01,Andaman & Nicobar,Renewable,Solar Ground,24.63
2022-01,Andaman & Nicobar,Renewable,Solar Offgrid,0.27
2022-01,Andaman & Nicobar,Renewable,Solar Rooftop,4.59
2022-01,Andhra Pradesh,Non-Renewable,Hydro,1610
2022-01,Andhra Pradesh,Non-Renewable,Natural Gas,4898.544
2022-01,Andhra Pradesh,Non-Renewable,Thermal,11626.8
2022-01,Andhra Pradesh,Renewable,Bio Bagasse Cogen,378.1
2022-01,Andhra Pradesh,Renewable,Bio Other Cogen,105.57
2022-01,Andhra Pradesh,Renewable,Bio Waste,38.16
2022-01,Andhra Pradesh,Renewable,Bio Waster Offgrid,29.21
2022-01,Andhra Pradesh,Renewable,Small Hydro,162.11
2022-01,Andhra Pradesh,Renewable,Solar Ground,4149.29
2022-01,Andhra Pradesh,Renewable,Solar Offgrid,88.34
2022-01,Andhra Pradesh,Renewable,Solar Rooftop,148.82
2022-01,Andhra Pradesh,Renewable,Wind,4096.65
2022-01,Arunachal Pradesh,Non-Renewable,Hydro,1115
2022-01,Arunachal Pradesh,Renewable,Small Hydro,131.105
2022-01,Arunachal Pradesh,Renewable,Solar Ground,1.27
2022-01,Arunachal Pradesh,Renewable,Solar Offgrid,5.62
2022-01,Arunachal Pradesh,Renewable,Solar Rooftop,4.34
2022-01,Assam,Non-Renewable,Hydro,350
2022-01,Assam,Non-Renewable,Natural Gas,620.355
2022-01,Assam,Non-Renewable,Thermal,750
2022-01,Assam,Renewable,Bio Other Cogen,2
2022-01,Assam,Renewable,Small Hydro,34.11
2022-01,Assam,Renewable,Solar Ground,25.67
2022-01,Assam,Renewable,Solar Offgrid,9.42
2022-01,Assam,Renewable,Solar Rooftop,33.48
2022-01,Bihar,Non-Renewable,Thermal,7960
2022-01,Bihar,Renewable,Bio Bagasse Cogen,112.5
2022-01,Bihar,Renewable,Bio Other Cogen,12.2
2022-01,Bihar,Renewable,Bio Waster Offgrid,1
