YYYY-MM-DD,Capacity (MW),Type,State,GenType
01-02-2008,48,Non-Renewable,Goa,Total
01-02-2008,4755,Non-Renewable,Gujarat,Thermal
01-02-2008,3240.72,Non-Renewable,Gujarat,Natural Gas
01-02-2008,440,Non-Renewable,Gujarat,Nuclear
01-02-2008,1995,Non-Renewable,Gujarat,Hydro
01-02-2008,10430.72,Non-Renewable,Gujarat,Total
01-02-2008,6042.5,Non-Renewable,Madhya Pradesh,Thermal
01-02-2008,0,Non-Renewable,Madhya Pradesh,Natural Gas
01-02-2008,0,Non-Renewable,Madhya Pradesh,Nuclear
01-02-2008,2438.5,Non-Renewable,Madhya Pradesh,Hydro
01-02-2008,8481,Non-Renewable,Madhya Pradesh,Total
01-02-2008,8450,Non-Renewable,Maharashtra,Thermal
01-02-2008,2572,Non-Renewable,Maharashtra,Natural Gas
01-02-2008,1400,Non-Renewable,Maharashtra,Nuclear
01-02-2008,2829.8,Non-Renewable,Maharashtra,Hydro
01-02-2008,15251.8,Non-Renewable,Maharashtra,Total
01-02-2008,6979.3,Non-Renewable,Andhra Pradesh,Thermal
01-02-2008,1875.4,Non-Renewable,Andhra Pradesh,Natural Gas
01-02-2008,0,Non-Renewable,Andhra Pradesh,Nuclear
01-02-2008,3632.5,Non-Renewable,Andhra Pradesh,Hydro
01-02-2008,12487.2,Non-Renewable,Andhra Pradesh,Total
01-02-2008,2464.42,Non-Renewable,Karnataka,Thermal
01-02-2008,220,Non-Renewable,Karnataka,Natural Gas
01-02-2008,660,Non-Renewable,Karnataka,Nuclear
01-02-2008,3448,Non-Renewable,Karnataka,Hydro
01-02-2008,6792.42,Non-Renewable,Karnataka,Total
01-02-2008,256.44,Non-Renewable,Kerala,Thermal
01-02-2008,524,Non-Renewable,Kerala,Natural Gas
01-02-2008,0,Non-Renewable,Kerala,Nuclear
01-02-2008,1846.7,Non-Renewable,Kerala,Hydro
01-02-2008,2627.14,Non-Renewable,Kerala,Total
01-02-2008,9.97,Non-Renewable,Lakshadweep,Thermal
01-02-2008,0,Non-Renewable,Lakshadweep,Natural Gas
01-02-2008,0,Non-Renewable,Lakshadweep,Nuclear
01-02-2008,0,Non-Renewable,Lakshadweep,Hydro
01-02-2008,9.97,Non-Renewable,Lakshadweep,Total
01-02-2008,0,Non-Renewable,Pondicherry,Thermal
01-02-2008,32.5,Non-Renewable,Pondicherry,Natural Gas
01-02-2008,0,Non-Renewable,Pondicherry,Nuclear
01-02-2008,0,Non-Renewable,Pondicherry,Hydro
01-02-2008,32.5,Non-Renewable,Pondicherry,Total
01-02-2008,7055.8,Non-Renewable,Tamil Nadu,Thermal
01-02-2008,0,Non-Renewable,Tamil Nadu,Natural Gas
01-02-2008,440,Non-Renewable,Tamil Nadu,Nuclear
01-02-2008,2170.45,Non-Renewable,Tamil Nadu,Hydro
01-02-2008,9666.25,Non-Renewable,Tamil Nadu,Total
01-02-2008,60.05,Non-Renewable,Andaman & Nicobar,Thermal
01-02-2008,0,Non-Renewable,Andaman & Nicobar,Natural Gas
01-02-2008,0,Non-Renewable,Andaman & Nicobar,Nuclear
01-02-2008,5.25,Non-Renewable,Andaman & Nicobar,Hydro
01-02-2008,65.3,Non-Renewable,Andaman & Nicobar,Total
01-02-2008,1880,Non-Renewable,Bihar,Thermal
01-02-2008,0,Non-Renewable,Bihar,Natural Gas
01-02-2008,0,Non-Renewable,Bihar,Nuclear
01-02-2008,44.9,Non-Renewable,Bihar,Hydro
01-02-2008,1924.9,Non-Renewable,Bihar,Total
01-02-2008,3000,Non-Renewable,Jharkhand,Thermal
01-02-2008,0,Non-Renewable,Jharkhand,Natural Gas
01-02-2008,0,Non-Renewable,Jharkhand,Nuclear
01-02-2008,214,Non-Renewable,Jharkhand,Hydro
01-02-2008,3214,Non-Renewable,Jharkhand,Total
01-02-2008,3890,Non-Renewable,Odisha,Thermal
01-02-2008,0,Non-Renewable,Odisha,Natural Gas
01-02-2008,0,Non-Renewable,Odisha,Nuclear
01-02-2008,1936.5,Non-Renewable,Odisha,Hydro
01-02-2008,5826.5,Non-Renewable,Odisha,Total
01-02-2008,5,Non-Renewable,Sikkim,Thermal
01-02-2008,0,Non-Renewable,Sikkim,Natural Gas
01-02-2008,0,Non-Renewable,Sikkim,Nuclear
01-02-2008,92,Non-Renewable,Sikkim,Hydro
01-02-2008,97,Non-Renewable,Sikkim,Total
01-02-2008,8624.2,Non-Renewable,West Bengal,Thermal
01-02-2008,190,Non-Renewable,West Bengal,Natural Gas
01-02-2008,0,Non-Renewable,West Bengal,Nuclear
01-02-2008,1116.5,Non-Renewable,West Bengal,Hydro
01-02-2008,9930.7,Non-Renewable,West Bengal,Total
01-02-2008,0,Non-Renewable,Arunachal Pradesh,Thermal
01-02-2008,0,Non-Renewable,Arunachal Pradesh,Natural Gas
01-02-2008,0,Non-Renewable,Arunachal Pradesh,Nuclear
01-02-2008,415.5,Non-Renewable,Arunachal Pradesh,Hydro
01-02-2008,415.5,Non-Renewable,Arunachal Pradesh,Total
01-02-2008,300,Non-Renewable,Assam,Thermal
01-02-2008,590,Non-Renewable,Assam,Natural Gas
01-02-2008,0,Non-Renewable,Assam,Nuclear
01-02-2008,325,Non-Renewable,Assam,Hydro
01-02-2008,1215,Non-Renewable,Assam,Total
01-02-2008,36,Non-Renewable,Manipur,Thermal
01-02-2008,0,Non-Renewable,Manipur,Natural Gas
01-02-2008,0,Non-Renewable,Manipur,Nuclear
01-02-2008,90,Non-Renewable,Manipur,Hydro
01-02-2008,126,Non-Renewable,Manipur,Total
01-02-2008,0,Non-Renewable,Meghalaya,Thermal
01-02-2008,0,Non-Renewable,Meghalaya,Natural Gas
01-02-2008,0,Non-Renewable,Meghalaya,Nuclear
01-02-2008,235.2,Non-Renewable,Meghalaya,Hydro
01-02-2008,235.2,Non-Renewable,Meghalaya,Total
01-02-2008,22.92,Non-Renewable,Mizoram,Thermal
01-02-2008,0,Non-Renewable,Mizoram,Natural Gas
01-02-2008,0,Non-Renewable,Mizoram,Nuclear
01-02-2008,0,Non-Renewable,Mizoram,Hydro
01-02-2008,22.92,Non-Renewable,Mizoram,Total
01-02-2008,0,Non-Renewable,Nagaland,Thermal
01-02-2008,0,Non-Renewable,Nagaland,Natural Gas
01-02-2008,0,Non-Renewable,Nagaland,Nuclear
01-02-2008,99,Non-Renewable,Nagaland,Hydro
01-02-2008,99,Non-Renewable,Nagaland,Total
01-02-2008,0,Non-Renewable,Tripura,Thermal
01-02-2008,211.5,Non-Renewable,Tripura,Natural Gas
01-02-2008,0,Non-Renewable,Tripura,Nuclear
01-02-2008,15,Non-Renewable,Tripura,Hydro
01-02-2008,226.5,Non-Renewable,Tripura,Total
01-02-2008,0,Non-Renewable,Telangana,Thermal
01-02-2008,0,Non-Renewable,Telangana,Natural Gas
01-02-2008,0,Non-Renewable,Telangana,Nuclear
01-02-2008,0,Non-Renewable,Telangana,Hydro
01-02-2008,0,Non-Renewable,Telangana,Total
01-02-2008,0,Non-Renewable,Ladakh,Thermal
01-02-2008,0,Non-Renewable,Ladakh,Natural Gas
01-02-2008,0,Non-Renewable,Ladakh,Nuclear
01-02-2008,0,Non-Renewable,Ladakh,Hydro
01-02-2008,0,Non-Renewable,Ladakh,Total
01-03-2008,1102.5,Non-Renewable,Delhi,Thermal
01-03-2008,612.4,Non-Renewable,Delhi,Natural Gas
01-03-2008,0,Non-Renewable,Delhi,Nuclear
01-03-2008,0,Non-Renewable,Delhi,Hydro
01-03-2008,1714.9,Non-Renewable,Delhi,Total
01-03-2008,1840,Non-Renewable,Haryana,Thermal
01-03-2008,430,Non-Renewable,Haryana,Natural Gas
01-03-2008,0,Non-Renewable,Haryana,Nuclear
01-03-2008,62.4,Non-Renewable,Haryana,Hydro
01-03-2008,2332.4,Non-Renewable,Haryana,Total
01-03-2008,0,Non-Renewable,Himachal Pradesh,Thermal
01-03-2008,0,Non-Renewable,Himachal Pradesh,Natural Gas
01-03-2008,0,Non-Renewable,Himachal Pradesh,Nuclear
01-03-2008,6253.6,Non-Renewable,Himachal Pradesh,Hydro
01-03-2008,6253.6,Non-Renewable,Himachal Pradesh,Total
01-03-2008,0,Non-Renewable,Jammu & Kashmir,Thermal
01-03-2008,175,Non-Renewable,Jammu & Kashmir,Natural Gas
01-03-2008,0,Non-Renewable,Jammu & Kashmir,Nuclear
01-03-2008,1870.65,Non-Renewable,Jammu & Kashmir,Hydro
01-03-2008,2045.65,Non-Renewable,Jammu & Kashmir,Total
01-03-2008,2370,Non-Renewable,Punjab,Thermal
01-03-2008,0,Non-Renewable,Punjab,Natural Gas
01-03-2008,0,Non-Renewable,Punjab,Nuclear
01-03-2008,1142.35,Non-Renewable,Punjab,Hydro
01-03-2008,3512.35,Non-Renewable,Punjab,Total
01-03-2008,2420,Non-Renewable,Rajasthan,Thermal
01-03-2008,856.8,Non-Renewable,Rajasthan,Natural Gas
01-03-2008,740,Non-Renewable,Rajasthan,Nuclear
01-03-2008,430,Non-Renewable,Rajasthan,Hydro
01-03-2008,4446.8,Non-Renewable,Rajasthan,Total
01-03-2008,10727,Non-Renewable,Uttar Pradesh,Thermal
01-03-2008,1469,Non-Renewable,Uttar Pradesh,Natural Gas
01-03-2008,440,Non-Renewable,Uttar Pradesh,Nuclear
01-03-2008,522.6,Non-Renewable,Uttar Pradesh,Hydro
01-03-2008,13158.6,Non-Renewable,Uttar Pradesh,Total
01-03-2008,0,Non-Renewable,Uttarakhand,Thermal
01-03-2008,0,Non-Renewable,Uttarakhand,Natural Gas
01-03-2008,0,Non-Renewable,Uttarakhand,Nuclear
01-03-2008,2929.85,Non-Renewable,Uttarakhand,Hydro
01-03-2008,2929.85,Non-Renewable,Uttarakhand,Total
01-03-2008,4630,Non-Renewable,Chhatisgarh,Thermal
01-03-2008,0,Non-Renewable,Chhatisgarh,Natural Gas
01-03-2008,0,Non-Renewable,Chhatisgarh,Nuclear
01-03-2008,137,Non-Renewable,Chhatisgarh,Hydro
01-03-2008,4767,Non-Renewable,Chhatisgarh,Total
01-03-2008,0,Non-Renewable,Goa,Thermal
01-03-2008,48,Non-Renewable,Goa,Natural Gas
01-03-2008,0,Non-Renewable,Goa,Nuclear
01-03-2008,0,Non-Renewable,Goa,Hydro
01-03-2008,48,Non-Renewable,Goa,Total
01-03-2008,4755,Non-Renewable,Gujarat,Thermal
01-03-2008,3240.72,Non-Renewable,Gujarat,Natural Gas
01-03-2008,440,Non-Renewable,Gujarat,Nuclear
01-03-2008,1995,Non-Renewable,Gujarat,Hydro
01-03-2008,10430.72,Non-Renewable,Gujarat,Total
01-03-2008,6042.5,Non-Renewable,Madhya Pradesh,Thermal
01-03-2008,0,Non-Renewable,Madhya Pradesh,Natural Gas
01-03-2008,0,Non-Renewable,Madhya Pradesh,Nuclear
01-03-2008,2438.5,Non-Renewable,Madhya Pradesh,Hydro
01-03-2008,8481,Non-Renewable,Madhya Pradesh,Total
01-03-2008,8450,Non-Renewable,Maharashtra,Thermal
01-03-2008,2572,Non-Renewable,Maharashtra,Natural Gas
01-03-2008,1400,Non-Renewable,Maharashtra,Nuclear
01-03-2008,2829.8,Non-Renewable,Maharashtra,Hydro
01-03-2008,15251.8,Non-Renewable,Maharashtra,Total
01-03-2008,6979.3,Non-Renewable,Andhra Pradesh,Thermal
01-03-2008,1875.4,Non-Renewable,Andhra Pradesh,Natural Gas
01-03-2008,0,Non-Renewable,Andhra Pradesh,Nuclear
01-03-2008,3632.5,Non-Renewable,Andhra Pradesh,Hydro
01-03-2008,12487.2,Non-Renewable,Andhra Pradesh,Total
01-03-2008,2464.42,Non-Renewable,Karnataka,Thermal
01-03-2008,220,Non-Renewable,Karnataka,Natural Gas
01-03-2008,660,Non-Renewable,Karnataka,Nuclear
01-03-2008,3448,Non-Renewable,Karnataka,Hydro
01-03-2008,6792.42,Non-Renewable,Karnataka,Total
01-03-2008,256.44,Non-Renewable,Kerala,Thermal
01-03-2008,524,Non-Renewable,Kerala,Natural Gas
01-03-2008,0,Non-Renewable,Kerala,Nuclear
01-03-2008,1846.7,Non-Renewable,Kerala,Hydro
01-03-2008,2627.14,Non-Renewable,Kerala,Total
01-03-2008,9.97,Non-Renewable,Lakshadweep,Thermal
01-03-2008,0,Non-Renewable,Lakshadweep,Natural Gas
01-03-2008,0,Non-Renewable,Lakshadweep,Nuclear
01-03-2008,0,Non-Renewable,Lakshadweep,Hydro
01-03-2008,9.97,Non-Renewable,Lakshadweep,Total
01-03-2008,0,Non-Renewable,Pondicherry,Thermal
01-03-2008,32.5,Non-Renewable,Pondicherry,Natural Gas
01-03-2008,0,Non-Renewable,Pondicherry,Nuclear
01-03-2008,0,Non-Renewable,Pondicherry,Hydro
01-03-2008,32.5,Non-Renewable,Pondicherry,Total
01-03-2008,7055.8,Non-Renewable,Tamil Nadu,Thermal
01-03-2008,0,Non-Renewable,Tamil Nadu,Natural Gas
01-03-2008,440,Non-Renewable,Tamil Nadu,Nuclear
01-03-2008,2170.45,Non-Renewable,Tamil Nadu,Hydro
01-03-2008,9666.25,Non-Renewable,Tamil Nadu,Total
01-03-2008,60.05,Non-Renewable,Andaman & Nicobar,Thermal
01-03-2008,0,Non-Renewable,Andaman & Nicobar,Natural Gas
01-03-2008,0,Non-Renewable,Andaman & Nicobar,Nuclear
01-03-2008,5.25,Non-Renewable,Andaman & Nicobar,Hydro
01-03-2008,65.3,Non-Renewable,Andaman & Nicobar,Total
01-03-2008,1880,Non-Renewable,Bihar,Thermal
01-03-2008,0,Non-Renewable,Bihar,Natural Gas
01-03-2008,0,Non-Renewable,Bihar,Nuclear
01-03-2008,44.9,Non-Renewable,Bihar,Hydro
01-03-2008,1924.9,Non-Renewable,Bihar,Total
01-03-2008,3000,Non-Renewable,Jharkhand,Thermal
01-03-2008,0,Non-Renewable,Jharkhand,Natural Gas
01-03-2008,0,Non-Renewable,Jharkhand,Nuclear
01-03-2008,214,Non-Renewable,Jharkhand,Hydro
01-03-2008,3214,Non-Renewable,Jharkhand,Total
01-03-2008,3890,Non-Renewable,Odisha,Thermal
01-03-2008,0,Non-Renewable,Odisha,Natural Gas
01-03-2008,0,Non-Renewable,Odisha,Nuclear
01-03-2008,1936.5,Non-Renewable,Odisha,Hydro
01-03-2008,5826.5,Non-Renewable,Odisha,Total
01-03-2008,5,Non-Renewable,Sikkim,Thermal
01-03-2008,0,Non-Renewable,Sikkim,Natural Gas
01-03-2008,0,Non-Renewable,Sikkim,Nuclear
01-03-2008,92,Non-Renewable,Sikkim,Hydro
01-03-2008,97,Non-Renewable,Sikkim,Total
