YYYY-MM,Source,Type,State,0
01-01-2020,Hydro,Non-Renewable,Andaman & Nicobar,0.0
01-01-2020,Hydro,Non-Renewable,Andhra Pradesh,1610.0
01-01-2020,Hydro,Non-Renewable,Arunachal Pradesh,515.0
01-01-2020,Hydro,Non-Renewable,Assam,350.0
01-01-2020,Hydro,Non-Renewable,Bihar,0.0
01-01-2020,Hydro,Non-Renewable,Chhatisgarh,120.0
01-01-2020,Hydro,Non-Renewable,Delhi,0.0
01-01-2020,Hydro,Non-Renewable,Goa,0.0
01-01-2020,Hydro,Non-Renewable,Gujarat,1990.0
01-01-2020,Hydro,Non-Renewable,Haryana,0.0
01-01-2020,Hydro,Non-Renewable,Himachal Pradesh,9809.02
01-01-2020,Hydro,Non-Renewable,Jammu & Kashmir,3360.0
01-01-2020,Hydro,Non-Renewable,Jharkhand,210.0
01-01-2020,Hydro,Non-Renewable,Karnataka,3644.2
01-01-2020,Hydro,Non-Renewable,Kerala,1856.5
01-01-2020,Hydro,Non-Renewable,Ladakh,89.0
01-01-2020,Hydro,Non-Renewable,Lakshadweep,0.0
01-01-2020,Hydro,Non-Renewable,Madhya Pradesh,2235.0
01-01-2020,Hydro,Non-Renewable,Maharashtra,3047.0
01-01-2020,Hydro,Non-Renewable,Manipur,105.0
01-01-2020,Hydro,Non-Renewable,Meghalaya,322.0
01-01-2020,Hydro,Non-Renewable,Mizoram,60.0
01-01-2020,Hydro,Non-Renewable,Nagaland,75.0
01-01-2020,Hydro,Non-Renewable,Odisha,2142.25
01-01-2020,Hydro,Non-Renewable,Pondicherry,0.0
01-01-2020,Hydro,Non-Renewable,Punjab,1096.3
01-01-2020,Hydro,Non-Renewable,Rajasthan,411.0
01-01-2020,Hydro,Non-Renewable,Sikkim,2169.0
01-01-2020,Hydro,Non-Renewable,Tamil Nadu,2178.2
01-01-2020,Hydro,Non-Renewable,Telangana,2405.6
01-01-2020,Hydro,Non-Renewable,Tripura,0.0
01-01-2020,Hydro,Non-Renewable,Uttar Pradesh,501.6
01-01-2020,Hydro,Non-Renewable,Uttarakhand,3756.35
01-01-2020,Hydro,Non-Renewable,West Bengal,1341.2
01-01-2020,Natural Gas,Non-Renewable,Andaman & Nicobar,0.0
01-01-2020,Natural Gas,Non-Renewable,Andhra Pradesh,4898.544
01-01-2020,Natural Gas,Non-Renewable,Arunachal Pradesh,0.0
01-01-2020,Natural Gas,Non-Renewable,Assam,619.205
01-01-2020,Natural Gas,Non-Renewable,Bihar,0.0
01-01-2020,Natural Gas,Non-Renewable,Chhatisgarh,0.0
01-01-2020,Natural Gas,Non-Renewable,Delhi,2208.4
01-01-2020,Natural Gas,Non-Renewable,Goa,48.0
01-01-2020,Natural Gas,Non-Renewable,Gujarat,7551.41
01-01-2020,Natural Gas,Non-Renewable,Haryana,431.59
01-01-2020,Natural Gas,Non-Renewable,Himachal Pradesh,0.0
01-01-2020,Natural Gas,Non-Renewable,Jammu & Kashmir,175.0
01-01-2020,Natural Gas,Non-Renewable,Jharkhand,0.0
01-01-2020,Natural Gas,Non-Renewable,Karnataka,0.0
01-01-2020,Natural Gas,Non-Renewable,Kerala,533.58
01-01-2020,Natural Gas,Non-Renewable,Ladakh,0.0
01-01-2020,Natural Gas,Non-Renewable,Lakshadweep,0.0
01-01-2020,Natural Gas,Non-Renewable,Madhya Pradesh,0.0
01-01-2020,Natural Gas,Non-Renewable,Maharashtra,3207.08
01-01-2020,Natural Gas,Non-Renewable,Manipur,0.0
01-01-2020,Natural Gas,Non-Renewable,Meghalaya,0.0
01-01-2020,Natural Gas,Non-Renewable,Mizoram,0.0
01-01-2020,Natural Gas,Non-Renewable,Nagaland,0.0
01-01-2020,Natural Gas,Non-Renewable,Odisha,0.0
01-01-2020,Natural Gas,Non-Renewable,Pondicherry,32.5
01-01-2020,Natural Gas,Non-Renewable,Punjab,0.0
01-01-2020,Natural Gas,Non-Renewable,Rajasthan,1023.13
01-01-2020,Natural Gas,Non-Renewable,Sikkim,0.0
01-01-2020,Natural Gas,Non-Renewable,Tamil Nadu,1017.18
01-01-2020,Natural Gas,Non-Renewable,Telangana,0.0
01-01-2020,Natural Gas,Non-Renewable,Tripura,1132.1
01-01-2020,Natural Gas,Non-Renewable,Uttar Pradesh,1493.14
01-01-2020,Natural Gas,Non-Renewable,Uttarakhand,450.0
01-01-2020,Natural Gas,Non-Renewable,West Bengal,80.0
01-01-2020,Nuclear,Non-Renewable,Andaman & Nicobar,0.0
01-01-2020,Nuclear,Non-Renewable,Andhra Pradesh,0.0
01-01-2020,Nuclear,Non-Renewable,Arunachal Pradesh,0.0
01-01-2020,Nuclear,Non-Renewable,Assam,0.0
01-01-2020,Nuclear,Non-Renewable,Bihar,0.0
01-01-2020,Nuclear,Non-Renewable,Chhatisgarh,0.0
01-01-2020,Nuclear,Non-Renewable,Delhi,0.0
01-01-2020,Nuclear,Non-Renewable,Goa,0.0
01-01-2020,Nuclear,Non-Renewable,Gujarat,440.0
01-01-2020,Nuclear,Non-Renewable,Haryana,0.0
01-01-2020,Nuclear,Non-Renewable,Himachal Pradesh,0.0
01-01-2020,Nuclear,Non-Renewable,Jammu & Kashmir,0.0
01-01-2020,Nuclear,Non-Renewable,Jharkhand,0.0
01-01-2020,Nuclear,Non-Renewable,Karnataka,880.0
01-01-2020,Nuclear,Non-Renewable,Kerala,0.0
01-01-2020,Nuclear,Non-Renewable,Ladakh,0.0
01-01-2020,Nuclear,Non-Renewable,Lakshadweep,0.0
01-01-2020,Nuclear,Non-Renewable,Madhya Pradesh,0.0
01-01-2020,Nuclear,Non-Renewable,Maharashtra,1400.0
01-01-2020,Nuclear,Non-Renewable,Manipur,0.0
01-01-2020,Nuclear,Non-Renewable,Meghalaya,0.0
01-01-2020,Nuclear,Non-Renewable,Mizoram,0.0
01-01-2020,Nuclear,Non-Renewable,Nagaland,0.0
01-01-2020,Nuclear,Non-Renewable,Odisha,0.0
01-01-2020,Nuclear,Non-Renewable,Pondicherry,0.0
01-01-2020,Nuclear,Non-Renewable,Punjab,0.0
01-01-2020,Nuclear,Non-Renewable,Rajasthan,1180.0
01-01-2020,Nuclear,Non-Renewable,Sikkim,0.0
01-01-2020,Nuclear,Non-Renewable,Tamil Nadu,2440.0
01-01-2020,Nuclear,Non-Renewable,Telangana,0.0
01-01-2020,Nuclear,Non-Renewable,Tripura,0.0
01-01-2020,Nuclear,Non-Renewable,Uttar Pradesh,440.0
01-01-2020,Nuclear,Non-Renewable,Uttarakhand,0.0
01-01-2020,Nuclear,Non-Renewable,West Bengal,0.0
01-01-2020,Small Hydro,Renewable,Andaman & Nicobar,5.25
01-01-2020,Small Hydro,Renewable,Andhra Pradesh,162.11
01-01-2020,Small Hydro,Renewable,Arunachal Pradesh,131.105
01-01-2020,Small Hydro,Renewable,Assam,34.11
01-01-2020,Small Hydro,Renewable,Bihar,70.7
01-01-2020,Small Hydro,Renewable,Chandigarh,0.0
01-01-2020,Small Hydro,Renewable,Chhatisgarh,76.0
01-01-2020,Small Hydro,Renewable,Dadar & Nagar Haveli,0.0
01-01-2020,Small Hydro,Renewable,Daman & Diu,0.0
01-01-2020,Small Hydro,Renewable,Delhi,0.0
01-01-2020,Small Hydro,Renewable,Goa,0.05
01-01-2020,Small Hydro,Renewable,Gujarat,62.352
01-01-2020,Small Hydro,Renewable,Haryana,73.5
01-01-2020,Small Hydro,Renewable,Himachal Pradesh,911.51
01-01-2020,Small Hydro,Renewable,Jammu & Kashmir,180.48
01-01-2020,Small Hydro,Renewable,Jharkhand,4.05
01-01-2020,Small Hydro,Renewable,Karnataka,1280.73
01-01-2020,Small Hydro,Renewable,Kerala,222.02
01-01-2020,Small Hydro,Renewable,Ladakh,0.0
01-01-2020,Small Hydro,Renewable,Lakshwadeep,0.0
01-01-2020,Small Hydro,Renewable,Madhya Pradesh,95.91
01-01-2020,Small Hydro,Renewable,Maharashtra,379.575
01-01-2020,Small Hydro,Renewable,Manipur,5.45
01-01-2020,Small Hydro,Renewable,Meghalaya,32.53
01-01-2020,Small Hydro,Renewable,Mizoram,36.47
01-01-2020,Small Hydro,Renewable,Nagaland,30.67
01-01-2020,Small Hydro,Renewable,Odisha,64.625
01-01-2020,Small Hydro,Renewable,Others,0.0
01-01-2020,Small Hydro,Renewable,Pondicherry,0.0
01-01-2020,Small Hydro,Renewable,Punjab,173.55
01-01-2020,Small Hydro,Renewable,Rajasthan,23.85
01-01-2020,Small Hydro,Renewable,Sikkim,52.11
01-01-2020,Small Hydro,Renewable,Tamil Nadu,123.05
01-01-2020,Small Hydro,Renewable,Telangana,90.87
01-01-2020,Small Hydro,Renewable,Tripura,16.01
01-01-2020,Small Hydro,Renewable,Uttar Pradesh,25.1
01-01-2020,Small Hydro,Renewable,Uttarakhand,214.32
01-01-2020,Small Hydro,Renewable,West Bengal,98.5
01-01-2020,Solar Ground,Renewable,Andaman & Nicobar,7.6
01-01-2020,Solar Ground,Renewable,Andhra Pradesh,3470.99
01-01-2020,Solar Ground,Renewable,Arunachal Pradesh,1.27
01-01-2020,Solar Ground,Renewable,Assam,10.67
01-01-2020,Solar Ground,Renewable,Bihar,138.93
01-01-2020,Solar Ground,Renewable,Chandigarh,6.34
01-01-2020,Solar Ground,Renewable,Chhatisgarh,215.83
01-01-2020,Solar Ground,Renewable,Dadar & Nagar Haveli,2.49
01-01-2020,Solar Ground,Renewable,Daman & Diu,10.15
01-01-2020,Solar Ground,Renewable,Delhi,8.96
01-01-2020,Solar Ground,Renewable,Goa,0.95
01-01-2020,Solar Ground,Renewable,Gujarat,2362.21
01-01-2020,Solar Ground,Renewable,Haryana,130.8
01-01-2020,Solar Ground,Renewable,Himachal Pradesh,17.0
01-01-2020,Solar Ground,Renewable,Jammu & Kashmir,8.49
01-01-2020,Solar Ground,Renewable,Jharkhand,19.05
01-01-2020,Solar Ground,Renewable,Karnataka,7042.16
01-01-2020,Solar Ground,Renewable,Kerala,100.0
01-01-2020,Solar Ground,Renewable,Ladakh,0.0
01-01-2020,Solar Ground,Renewable,Lakshwadeep,0.75
01-01-2020,Solar Ground,Renewable,Madhya Pradesh,2207.28
01-01-2020,Solar Ground,Renewable,Maharashtra,1447.3
01-01-2020,Solar Ground,Renewable,Manipur,0.0
01-01-2020,Solar Ground,Renewable,Meghalaya,0.0
01-01-2020,Solar Ground,Renewable,Mizoram,0.1
01-01-2020,Solar Ground,Renewable,Nagaland,0.0
01-01-2020,Solar Ground,Renewable,Odisha,383.56
01-01-2020,Solar Ground,Renewable,Others,0.0
01-01-2020,Solar Ground,Renewable,Pondicherry,0.03
01-01-2020,Solar Ground,Renewable,Punjab,828.58
01-01-2020,Solar Ground,Renewable,Rajasthan,4811.08
01-01-2020,Solar Ground,Renewable,Sikkim,0.0
01-01-2020,Solar Ground,Renewable,Tamil Nadu,3632.52
01-01-2020,Solar Ground,Renewable,Telangana,3530.29
01-01-2020,Solar Ground,Renewable,Tripura,5.0
01-01-2020,Solar Ground,Renewable,Uttar Pradesh,949.0
01-01-2020,Solar Ground,Renewable,Uttarakhand,239.78
01-01-2020,Solar Ground,Renewable,West Bengal,70.0
01-01-2020,Solar Ground Based,Renewable,Andaman & Nicobar,0.0
01-01-2020,Solar Ground Based,Renewable,Andhra Pradesh,0.0
01-01-2020,Solar Ground Based,Renewable,Arunachal Pradesh,0.0
01-01-2020,Solar Ground Based,Renewable,Assam,0.0
01-01-2020,Solar Ground Based,Renewable,Bihar,0.0
01-01-2020,Solar Ground Based,Renewable,Chandigarh,0.0
01-01-2020,Solar Ground Based,Renewable,Chhatisgarh,0.0
01-01-2020,Solar Ground Based,Renewable,Dadar & Nagar Haveli,0.0
01-01-2020,Solar Ground Based,Renewable,Daman & Diu,0.0
01-01-2020,Solar Ground Based,Renewable,Delhi,0.0
01-01-2020,Solar Ground Based,Renewable,Goa,0.0
01-01-2020,Solar Ground Based,Renewable,Gujarat,0.0
01-01-2020,Solar Ground Based,Renewable,Haryana,0.0
01-01-2020,Solar Ground Based,Renewable,Himachal Pradesh,0.0
01-01-2020,Solar Ground Based,Renewable,Jammu & Kashmir,0.0
01-01-2020,Solar Ground Based,Renewable,Jharkhand,0.0
01-01-2020,Solar Ground Based,Renewable,Karnataka,0.0
01-01-2020,Solar Ground Based,Renewable,Kerala,0.0
01-01-2020,Solar Ground Based,Renewable,Ladakh,0.0
01-01-2020,Solar Ground Based,Renewable,Lakshwadeep,0.0
01-01-2020,Solar Ground Based,Renewable,Madhya Pradesh,0.0
01-01-2020,Solar Ground Based,Renewable,Maharashtra,0.0
01-01-2020,Solar Ground Based,Renewable,Manipur,0.0
01-01-2020,Solar Ground Based,Renewable,Meghalaya,0.0
01-01-2020,Solar Ground Based,Renewable,Mizoram,0.0
01-01-2020,Solar Ground Based,Renewable,Nagaland,0.0
01-01-2020,Solar Ground Based,Renewable,Odisha,0.0
01-01-2020,Solar Ground Based,Renewable,Others,0.0
01-01-2020,Solar Ground Based,Renewable,Pondicherry,0.0
01-01-2020,Solar Ground Based,Renewable,Punjab,0.0
01-01-2020,Solar Ground Based,Renewable,Rajasthan,0.0
01-01-2020,Solar Ground Based,Renewable,Sikkim,0.0
01-01-2020,Solar Ground Based,Renewable,Tamil Nadu,0.0
01-01-2020,Solar Ground Based,Renewable,Telangana,0.0
01-01-2020,Solar Ground Based,Renewable,Tripura,0.0
01-01-2020,Solar Ground Based,Renewable,Uttar Pradesh,0.0
01-01-2020,Solar Ground Based,Renewable,Uttarakhand,0.0
01-01-2020,Solar Ground Based,Renewable,West Bengal,0.0
01-01-2020,Solar Hybrid,Renewable,Andaman & Nicobar,0.0
01-01-2020,Solar Hybrid,Renewable,Andhra Pradesh,0.0
01-01-2020,Solar Hybrid,Renewable,Arunachal Pradesh,0.0
01-01-2020,Solar Hybrid,Renewable,Assam,0.0
01-01-2020,Solar Hybrid,Renewable,Bihar,0.0
01-01-2020,Solar Hybrid,Renewable,Chandigarh,0.0
01-01-2020,Solar Hybrid,Renewable,Chhatisgarh,0.0
01-01-2020,Solar Hybrid,Renewable,Dadar & Nagar Haveli,0.0
01-01-2020,Solar Hybrid,Renewable,Daman & Diu,0.0
01-01-2020,Solar Hybrid,Renewable,Delhi,0.0
01-01-2020,Solar Hybrid,Renewable,Goa,0.0
01-01-2020,Solar Hybrid,Renewable,Gujarat,0.0
01-01-2020,Solar Hybrid,Renewable,Haryana,0.0
01-01-2020,Solar Hybrid,Renewable,Himachal Pradesh,0.0
01-01-2020,Solar Hybrid,Renewable,Jammu & Kashmir,0.0
01-01-2020,Solar Hybrid,Renewable,Jharkhand,0.0
01-01-2020,Solar Hybrid,Renewable,Karnataka,0.0
01-01-2020,Solar Hybrid,Renewable,Kerala,0.0
01-01-2020,Solar Hybrid,Renewable,Ladakh,0.0
01-01-2020,Solar Hybrid,Renewable,Lakshwadeep,0.0
01-01-2020,Solar Hybrid,Renewable,Madhya Pradesh,0.0
01-01-2020,Solar Hybrid,Renewable,Maharashtra,0.0
01-01-2020,Solar Hybrid,Renewable,Manipur,0.0
01-01-2020,Solar Hybrid,Renewable,Meghalaya,0.0
01-01-2020,Solar Hybrid,Renewable,Mizoram,0.0
01-01-2020,Solar Hybrid,Renewable,Nagaland,0.0
01-01-2020,Solar Hybrid,Renewable,Odisha,0.0
01-01-2020,Solar Hybrid,Renewable,Others,0.0
01-01-2020,Solar Hybrid,Renewable,Pondicherry,0.0
01-01-2020,Solar Hybrid,Renewable,Punjab,0.0
01-01-2020,Solar Hybrid,Renewable,Rajasthan,0.0
01-01-2020,Solar Hybrid,Renewable,Sikkim,0.0
01-01-2020,Solar Hybrid,Renewable,Tamil Nadu,0.0
01-01-2020,Solar Hybrid,Renewable,Telangana,0.0
01-01-2020,Solar Hybrid,Renewable,Tripura,0.0
01-01-2020,Solar Hybrid,Renewable,Uttar Pradesh,0.0
01-01-2020,Solar Hybrid,Renewable,Uttarakhand,0.0
01-01-2020,Solar Hybrid,Renewable,West Bengal,0.0
01-01-2020,Solar Offgrid,Renewable,Andaman & Nicobar,0.0
01-01-2020,Solar Offgrid,Renewable,Andhra Pradesh,0.0
01-01-2020,Solar Offgrid,Renewable,Arunachal Pradesh,0.0
01-01-2020,Solar Offgrid,Renewable,Assam,0.0
01-01-2020,Solar Offgrid,Renewable,Bihar,0.0
01-01-2020,Solar Offgrid,Renewable,Chandigarh,0.0
01-01-2020,Solar Offgrid,Renewable,Chhatisgarh,0.0
01-01-2020,Solar Offgrid,Renewable,Dadar & Nagar Haveli,0.0
01-01-2020,Solar Offgrid,Renewable,Daman & Diu,0.0
01-01-2020,Solar Offgrid,Renewable,Delhi,0.0
01-01-2020,Solar Offgrid,Renewable,Goa,0.0
01-01-2020,Solar Offgrid,Renewable,Gujarat,0.0
01-01-2020,Solar Offgrid,Renewable,Haryana,0.0
01-01-2020,Solar Offgrid,Renewable,Himachal Pradesh,0.0
01-01-2020,Solar Offgrid,Renewable,Jammu & Kashmir,0.0
01-01-2020,Solar Offgrid,Renewable,Jharkhand,0.0
01-01-2020,Solar Offgrid,Renewable,Karnataka,0.0
01-01-2020,Solar Offgrid,Renewable,Kerala,0.0
01-01-2020,Solar Offgrid,Renewable,Ladakh,0.0
01-01-2020,Solar Offgrid,Renewable,Lakshwadeep,0.0
01-01-2020,Solar Offgrid,Renewable,Madhya Pradesh,0.0
01-01-2020,Solar Offgrid,Renewable,Maharashtra,0.0
01-01-2020,Solar Offgrid,Renewable,Manipur,0.0
01-01-2020,Solar Offgrid,Renewable,Meghalaya,0.0
01-01-2020,Solar Offgrid,Renewable,Mizoram,0.0
